micro_f1,macro_f1,precision,recall,accuracy,lang,lang_orig,ip_mean,ip_std,ip_median
0.7549019607843137,0.3813330335105193,0.7549019607843137,0.7549019607843137,0.7549019607843137,es,spa_Latn,0.7956321643354642,0.13751625498605952,0.7934352783999805
0.5980392156862745,0.4856969477620562,0.5980392156862745,0.5980392156862745,0.5980392156862745,el,ell_Grek,0.4429209634553456,0.09628900100891029,0.4361148696801713
0.3676470588235294,0.1945520912046499,0.3676470588235294,0.3676470588235294,0.3676470588235294,ht,hat_Latn,0.3015919562924923,0.06927761992132284,0.2947476918756441
0.6225490196078431,0.5024119274001844,0.6225490196078431,0.6225490196078431,0.6225490196078431,sr,srp_Cyrl,0.3073174992167517,0.06739567324929774,0.301936815188833
0.1225490196078431,0.0964556718801715,0.1225490196078431,0.1225490196078431,0.1225490196078431,pa,pan_Guru,0.2620519821329919,0.06275364660471769,0.2571568051372941
0.4215686274509804,0.2945749649304089,0.4215686274509804,0.4215686274509804,0.4215686274509804,eu,eus_Latn,0.29131653929919715,0.06739237494922459,0.28444999793991166
0.6274509803921569,0.3066500582352267,0.6274509803921569,0.6274509803921569,0.6274509803921569,fi,fin_Latn,0.4748284632920957,0.09843910857202584,0.46970157102293464
0.1225490196078431,0.0951964633133627,0.1225490196078431,0.1225490196078431,0.1225490196078431,kn,kan_Knda,0.2618208496858905,0.05953151644959352,0.2572251952528448
0.7058823529411765,0.3647617642729028,0.7058823529411765,0.7058823529411765,0.7058823529411765,tr,tur_Latn,0.51557757947788,0.10788420395047212,0.5123820860983153
0.1225490196078431,0.0824393959035519,0.1225490196078431,0.1225490196078431,0.1225490196078431,gu,guj_Gujr,0.2738213466902416,0.06530345119150387,0.27148390342729567
0.7058823529411765,0.4972153598281418,0.7058823529411765,0.7058823529411765,0.7058823529411765,hi,hin_Deva,0.5832734290463272,0.12456473775892997,0.5726345719289869
0.6813725490196079,0.3532616741179414,0.6813725490196079,0.6813725490196079,0.6813725490196079,bg,bul_Cyrl,0.36015767352472233,0.0807740908410995,0.35379602832435925
0.1470588235294117,0.1108520460279613,0.1470588235294117,0.1470588235294117,0.1470588235294117,my,mya_Mymr,0.2357630339265036,0.05559221427272397,0.2296534457543961
0.3284313725490196,0.2475546002788325,0.3284313725490196,0.3284313725490196,0.3284313725490196,sw,swh_Latn,0.3467332760911073,0.07772839917828549,0.3400985619035499
0.7352941176470589,0.352290393887013,0.7352941176470589,0.7352941176470589,0.7352941176470589,pr,por_Latn,0.8269295146940783,0.13095714136776607,0.829153040145077
0.7254901960784313,0.3480457977206302,0.7254901960784313,0.7254901960784313,0.7254901960784313,da,dan_Latn,0.5594271408206096,0.10870221969595593,0.5527795650577269
0.6666666666666666,0.3671282146954065,0.6666666666666666,0.6666666666666666,0.6666666666666666,hu,hun_Latn,0.4782790560665847,0.09967416325539291,0.4742945012072526
0.6225490196078431,0.3684893003032319,0.6225490196078431,0.6225490196078431,0.6225490196078431,he,heb_Hebr,0.5222922422353345,0.11068783870324607,0.5147369803608618
0.3039215686274509,0.3645376624479541,0.3039215686274509,0.3039215686274509,0.3039215686274509,qu,quy_Latn,0.2716209906780059,0.06657371347592252,0.26504849536468816
0.5441176470588235,0.3609756932355429,0.5441176470588235,0.5441176470588235,0.5441176470588235,np,npi_Deva,0.3057112421527628,0.06958602596636816,0.2998426546317715
0.284313725490196,0.3098316050866836,0.284313725490196,0.284313725490196,0.284313725490196,ta,tam_Taml,0.32274101729220683,0.07720173358442996,0.31587511797431145
0.2941176470588235,0.2192144420660499,0.2941176470588235,0.2941176470588235,0.2941176470588235,bn,ben_Beng,0.33383535161318256,0.07804898496491089,0.3274288663941504
0.7696078431372549,0.3880768548958527,0.7696078431372549,0.7696078431372549,0.7696078431372549,zh,zho_Hans,0.7305814799502759,0.1463671566372495,0.7267395931122891
0.2156862745098039,0.2207311207311207,0.2156862745098039,0.2156862745098039,0.2156862745098039,ka,kat_Geor,0.2903741592341153,0.0665533779619712,0.28741788099525534
