micro_f1,macro_f1,precision,recall,accuracy,lang
0.25,0.13130699088145897,0.25,0.25,0.25,spa_Latn
0.25980392156862747,0.10908356401463508,0.25980392156862747,0.25980392156862747,0.25980392156862747,zho_Hans
0.28921568627450983,0.10959225280326197,0.28921568627450983,0.28921568627450983,0.28921568627450983,nld_Latn
0.029411764705882353,0.028846153846153848,0.029411764705882353,0.029411764705882353,0.029411764705882353,ben_Beng
0.28921568627450983,0.11367127496159754,0.28921568627450983,0.28921568627450983,0.28921568627450983,ita_Latn
0.28431372549019607,0.10244449987528062,0.28431372549019607,0.28431372549019607,0.28431372549019607,nob_Latn
0.25980392156862747,0.10106806950422446,0.25980392156862747,0.25980392156862747,0.25980392156862747,mar_Deva
0.25980392156862747,0.08230644036270635,0.25980392156862747,0.25980392156862747,0.25980392156862747,por_Latn
0.27450980392156865,0.09722222222222222,0.27450980392156865,0.27450980392156865,0.27450980392156865,hrv_Latn
0.00980392156862745,0.008928571428571428,0.00980392156862745,0.00980392156862745,0.00980392156862745,mal_Mlym
0.04411764705882353,0.05705128205128205,0.04411764705882353,0.04411764705882353,0.04411764705882353,asm_Beng
0.0,0.0,0.0,0.0,0.0,tam_Taml
0.2696078431372549,0.07908438942921701,0.2696078431372549,0.2696078431372549,0.2696078431372549,ron_Latn
0.23529411764705882,0.08206957647416759,0.23529411764705882,0.23529411764705882,0.23529411764705882,kor_Hang
0.3284313725490196,0.16862321161648516,0.3284313725490196,0.3284313725490196,0.3284313725490196,est_Latn
0.029411764705882353,0.025423728813559324,0.029411764705882353,0.029411764705882353,0.029411764705882353,tel_Telu
0.30392156862745096,0.1241128711747005,0.30392156862745096,0.30392156862745096,0.30392156862745096,fin_Latn
0.23039215686274508,0.09373237450648618,0.23039215686274508,0.23039215686274508,0.23039215686274508,ind_Latn
0.28431372549019607,0.11825047199496538,0.28431372549019607,0.28431372549019607,0.28431372549019607,srp_Cyrl
0.28431372549019607,0.10172230979483302,0.28431372549019607,0.28431372549019607,0.28431372549019607,ces_Latn
0.28431372549019607,0.1206031746031746,0.28431372549019607,0.28431372549019607,0.28431372549019607,hun_Latn
0.16666666666666666,0.08912405967104424,0.16666666666666666,0.16666666666666666,0.16666666666666666,tha_Thai
0.2696078431372549,0.08880105401844532,0.2696078431372549,0.2696078431372549,0.2696078431372549,hin_Deva
0.30392156862745096,0.11549763033175356,0.30392156862745096,0.30392156862745096,0.30392156862745096,bul_Cyrl
0.29411764705882354,0.12881248296421882,0.29411764705882354,0.29411764705882354,0.29411764705882354,dan_Latn
0.3088235294117647,0.13398079682154287,0.3088235294117647,0.3088235294117647,0.3088235294117647,ukr_Cyrl
0.0,0.0,0.0,0.0,0.0,kat_Geor
0.27450980392156865,0.15066295979469632,0.27450980392156865,0.27450980392156865,0.27450980392156865,heb_Hebr
0.04411764705882353,0.028125,0.04411764705882353,0.04411764705882353,0.04411764705882353,ory_Orya
0.2696078431372549,0.07043432757718472,0.2696078431372549,0.2696078431372549,0.2696078431372549,jpn_Jpan
0.31862745098039214,0.1564570119802678,0.31862745098039214,0.31862745098039214,0.31862745098039214,rus_Cyrl
0.12745098039215685,0.05584415584415585,0.12745098039215685,0.12745098039215685,0.12745098039215685,quy_Latn
0.22549019607843138,0.06682465669194507,0.22549019607843138,0.22549019607843138,0.22549019607843138,vie_Latn
0.06862745098039216,0.04938271604938271,0.06862745098039216,0.06862745098039216,0.06862745098039216,eng_Latn
0.2696078431372549,0.08408809453843247,0.2696078431372549,0.2696078431372549,0.2696078431372549,ell_Grek
0.27450980392156865,0.14906562364189482,0.27450980392156865,0.27450980392156865,0.27450980392156865,arb_Arab
0.00980392156862745,0.008928571428571428,0.00980392156862745,0.00980392156862745,0.00980392156862745,mya_Mymr
0.03431372549019608,0.028688524590163935,0.03431372549019608,0.03431372549019608,0.03431372549019608,kan_Knda
0.10784313725490197,0.03286034353995519,0.10784313725490197,0.10784313725490197,0.10784313725490197,swh_Latn
0.19117647058823528,0.10149393090569561,0.19117647058823528,0.19117647058823528,0.19117647058823528,urd_Arab
0.25980392156862747,0.06298939505102381,0.25980392156862747,0.25980392156862747,0.25980392156862747,eus_Latn
0.24509803921568626,0.09771912675138482,0.24509803921568626,0.24509803921568626,0.24509803921568626,zsm_Latn
0.29411764705882354,0.14362921321205394,0.29411764705882354,0.29411764705882354,0.29411764705882354,fra_Latn
0.0,0.0,0.0,0.0,0.0,guj_Gujr
0.22058823529411764,0.058333333333333334,0.22058823529411764,0.22058823529411764,0.22058823529411764,tur_Latn
0.049019607843137254,0.03333333333333333,0.049019607843137254,0.049019607843137254,0.049019607843137254,pan_Guru
0.22058823529411764,0.05025125628140704,0.22058823529411764,0.22058823529411764,0.22058823529411764,npi_Deva
0.3088235294117647,0.10102409005966849,0.3088235294117647,0.3088235294117647,0.3088235294117647,cat_Latn
0.14215686274509803,0.07003233392122282,0.14215686274509803,0.14215686274509803,0.14215686274509803,hat_Latn
0.3137254901960784,0.11872030408615775,0.3137254901960784,0.3137254901960784,0.3137254901960784,deu_Latn
