Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
English,0.0,0.0,0.0,0.0,0.0,0.0,0.00014962780084539707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031907032981796197,0.0,6.911327666044647e-05,0.0,0.0,0.0,0.0
German,0.0,0.0,0.006889642416769421,0.0017754828970391464,0.0,0.0,0.014692356102047732,0.004905040143881177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4036439241890708e-05,0.0,0.0,0.0,0.0,0.0010376673238559717,3.839213729028295e-05,0.00023963273130864695,0.0,0.0,0.0,0.0
Spanish,0.0,0.0,0.0,0.000324575964686135,0.14035864720460606,0.0,0.01604162150444396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001287105908493544,0.00026645967769964204,0.006811217563321826,0.0,0.0,0.0,0.0
French,0.0,0.0,0.0,0.00016129644388781359,0.188884635393661,0.0,0.00026853247005117033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3795643017763447e-05,0.0,0.0,0.0,0.0,0.00375533145152265,0.00015225169380009352,0.000476071973426528,0.0,0.0,0.0,0.0
Standard Arabic,0.06152468005226431,0.0,0.003585234442285737,0.1734794328507445,0.9680500284252416,0.0,0.8080066491203768,0.9678901168872516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.292105986980838e-05,0.0,0.0,0.0,0.0,0.00014445126575421616,0.00012421097799207307,0.8080050346129641,0.0,0.0,0.0,0.0
Hindi,0.4173704841923922,0.0,0.9652846798239386,0.3045070852460171,0.967648521887436,0.0,0.7784392229558637,0.9652329940130399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2382270846273e-05,0.0,0.0,0.0,0.0,0.00042650963774197543,0.0,0.7784221186181596,0.0,0.0,0.0,0.8843559371268115
Greek,0.009842918870014195,0.0,0.9588098975854078,0.7887139695538811,0.9614618564449455,0.0,0.8152903889857022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.440528039434147e-06,0.0,0.0,0.0,0.0,0.0025484719362270382,0.001423303357702012,0.8153194435958534,0.0,0.0,0.0,0.0
