Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
English,54031,56292,84532,59120,91873,78796,80199,80307,58494,58494,53694,60621,60621,52780,60621,52812,52780,57254,53174,53174,59548,65728,57876,259396,259170,53174,96467
German,116480,70722,129760,116588,62093,116297,123942,116207,92307,92307,81931,85593,85593,65999,85593,83207,65999,90896,89320,89320,77096,78141,79288,307304,302377,89320,139166
Spanish,112054,72396,124933,107833,106121,62192,115325,111689,92344,92344,82635,88191,88191,66807,88191,81576,66807,90904,64466,64466,73809,86317,128905,314077,308284,64466,132786
French,110544,75415,120276,105396,101877,107138,67031,113619,93331,93331,81108,89027,89027,71430,89027,84049,71430,92269,63881,63881,80419,91953,92423,320613,308489,63881,128023
Standard Arabic,175263,85999,49927,194023,–––,255720,–––,–––,203323,203323,232563,207440,207440,78598,207440,87256,78598,201914,60841,60841,83073,88559,–––,413881,228923,60841,52834
Hindi,136991,99283,–––,85177,–––,408094,–––,–––,267117,267117,388032,278602,278602,97670,278602,133633,97670,265445,68276,68276,72683,104603,–––,661374,258472,68276,–––
Greek,256428,125814,–––,–––,–––,381615,–––,60985,306693,306693,335415,302389,302389,121256,302389,118476,121256,70986,202450,202450,98098,108199,–––,562986,310159,202450,260481
