Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
English,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0
German,0,0,894,207,0,0,1821,570,0,0,0,0,0,0,0,2,0,0,0,0,80,3,19,0,0,0,0
Spanish,0,0,0,35,14895,0,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,95,23,878,0,0,0,0
French,0,0,0,17,19243,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,302,14,44,0,0,0,0
Standard Arabic,10783,0,179,33659,42570,0,64163,42562,0,0,0,0,0,0,0,2,0,0,0,0,12,11,64196,0,0,0,0
Hindi,57176,0,54388,25937,54467,0,81466,54332,0,0,0,0,0,0,0,7,0,0,0,0,31,0,81479,0,0,0,54800
Greek,2524,0,51304,88026,51169,0,80002,0,0,0,0,0,0,0,0,1,0,0,0,0,250,154,80066,0,0,0,0
