Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
Danish,0.0,0.0,0.059982240907525866,0.0028093023255813952,0.14542401709588085,0.0,0.02372479240806643,0.10673693951036994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2795659706391902e-05,0.0,0.0,0.0,0.0,0.0028950400283595757,0.0028100850831316838,0.023626267287966532,0.0,0.0,0.0,0.0
Catalan,0.0,0.0,0.0,7.594311860416548e-05,0.12452063199877282,0.0,0.008577803789596898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.846214201647705e-05,8.695274118516586e-05,0.005776434664903831,0.0,0.0,0.0,0.0
Standard Arabic,0.06152836776905456,0.0,0.0034847298355520752,0.17298835548941133,0.9694863913760079,0.0,0.8092541062326085,0.9692691399812943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011720031878486709,6.616819956328988e-05,0.8092506892477354,0.0,0.0,0.0,0.0
Turkish,0.0,0.0,0.0,0.03798762886597938,0.38934976503308716,0.0,0.078622596825677,0.24127043476454582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004588339881276706,0.0001587973745500741,0.0474997797439996,0.0,0.0,0.0,0.0
Czech,0.0,0.0,0.0,0.0007168195268991123,0.5928729010908199,0.0,0.10417389991697487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015821143272123665,2.3260141421659845e-05,0.08606719857277367,0.0,0.0,0.0,0.0
Thai,0.9632570162481536,0.0940480147265615,0.9655906349769422,0.9389132635842052,0.9641878311712041,0.0,0.9390760990850257,0.9634785753028385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9388988361683079,0.0,0.0,0.0,0.916790050340539
Bengali,0.3282873371372382,0.051593743082712314,0.9780403179761957,0.30646882782579576,0.9708507364255881,0.0,0.8295751070848308,0.9704266819000748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012139178880384364,0.0,0.0,0.0,0.0,0.0,0.0,0.8295415374008962,0.0,0.0,0.0,0.97044356609574
Bulgarian,0.0,0.0,0.9524330235101148,0.040717147172785184,0.956338028169014,0.0,0.6392524487711075,0.9514753071926118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019786605219656362,0.0,0.14583752666961877,0.0,0.0,0.0,0.0
Greek,0.008576746306073612,0.0,0.9609146697837522,0.7903144060539331,0.9633121766885571,0.0,0.8168930188229688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6475007413753334e-05,0.0,0.0,0.0,0.0,0.002423905269013749,0.0014046714329449476,0.816912874275276,0.0,0.0,0.0,0.0
Urdu,0.1816881753912512,0.0,0.0,0.2789730989624967,0.9833415964303421,0.0,0.7764538598606886,0.9825808157598995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003290139704393602,0.0,0.7764561927554747,0.0,0.0,0.0,0.0
